,CH1,CH2,CH3,CH4,,Gate Volteage,Drain Voltage,Drain Current
165,1280,130,11413,1431,,0.1,2.03125E-05,8.94375E-05
166,1015,-5,12311,244,,0.079296875,-7.8125E-07,0.00001525
167,1026,-128,12137,0,,0.08015625,-0.00002,0
168,1280,1,11032,260,,0.1,1.5625E-07,0.00001625
169,1151,-250,13312,1020,,0.089921875,-3.90625E-05,0.00006375
170,1150,-511,13438,1280,,0.08984375,-7.98438E-05,0.00008
171,768,-15,12953,389,,0.06,-2.34375E-06,2.43125E-05
172,1273,393,10752,-134,,0.099453125,6.14063E-05,-0.000008375
173,1415,-487,11598,251,,0.110546875,-7.60938E-05,1.56875E-05
174,1275,-256,12685,254,,0.099609375,-0.00004,0.000015875
175,1413,5,10902,894,,0.110390625,7.8125E-07,0.000055875
176,637,-770,8576,768,,0.049765625,-0.000120313,0.000048
177,762,-122,9081,896,,0.05953125,-1.90625E-05,0.000056
178,1279,-137,10383,-1022,,0.099921875,-2.14063E-05,-0.000063875
179,1024,-260,12419,783,,0.08,-0.000040625,4.89375E-05
180,1280,-380,11231,-162,,0.1,-0.000059375,-0.000010125
181,1152,-127,9978,-1152,,0.09,-1.98438E-05,-0.000072
182,1151,-126,11397,-103,,0.089921875,-1.96875E-05,-6.4375E-06
183,1022,128,11392,637,,0.07984375,0.00002,3.98125E-05
184,1279,-132,11776,640,,0.099921875,-0.000020625,0.00004
185,1152,-772,10030,-136,,0.09,-0.000120625,-0.0000085
186,1279,-14,8940,1777,,0.099921875,-2.1875E-06,0.000111063
187,1036,-106,11910,2065,,0.0809375,-1.65625E-05,0.000129063
188,896,-384,12914,1135,,0.07,-0.00006,7.09375E-05
189,893,-128,11018,-265,,0.069765625,-0.00002,-1.65625E-05
190,1283,-391,10326,-752,,0.100234375,-6.10938E-05,-0.000047
191,1147,-380,10295,519,,0.089609375,-0.000059375,3.24375E-05
192,1030,649,13837,-26,,0.08046875,0.000101406,-0.000001625
193,1411,256,10834,271,,0.110234375,0.00004,1.69375E-05
194,1273,15,9591,1031,,0.099453125,2.34375E-06,6.44375E-05
195,1019,508,9353,633,,0.079609375,0.000079375,3.95625E-05
196,897,-390,12062,521,,0.070078125,-6.09375E-05,3.25625E-05
197,1155,-5,12160,392,,0.090234375,-7.8125E-07,0.0000245
198,1145,0,10247,-251,,0.089453125,0,-1.56875E-05
199,768,123,10943,1261,,0.06,1.92188E-05,7.88125E-05
200,897,129,12680,1030,,0.070078125,2.01563E-05,0.000064375
201,1149,-127,10381,662,,0.089765625,-1.98438E-05,0.000041375
202,1279,-257,10371,-512,,0.099921875,-4.01563E-05,-0.000032
203,1153,-256,9726,763,,0.090078125,-0.00004,4.76875E-05
204,1153,-122,9998,767,,0.090078125,-1.90625E-05,4.79375E-05
205,1150,129,10502,384,,0.08984375,2.01563E-05,0.000024
206,1021,-15,10470,-1014,,0.079765625,-2.34375E-06,-0.000063375
207,1028,-383,9599,1146,,0.0803125,-5.98438E-05,0.000071625
208,1151,260,10247,505,,0.089921875,0.000040625,3.15625E-05
209,1155,-123,9982,1145,,0.090234375,-1.92188E-05,7.15625E-05
210,1535,-127,9724,634,,0.119921875,-1.98438E-05,0.000039625
211,1026,-251,8841,-255,,0.08015625,-3.92188E-05,-1.59375E-05
212,1025,-383,7297,506,,0.080078125,-5.98438E-05,0.000031625
213,1287,-393,8366,1179,,0.100546875,-6.14063E-05,7.36875E-05
214,896,-257,9472,-386,,0.07,-4.01563E-05,-0.000024125
215,1278,-383,8704,741,,0.09984375,-5.98438E-05,4.63125E-05
216,1021,-128,9613,1143,,0.079765625,-0.00002,7.14375E-05
217,1150,-384,10236,384,,0.08984375,-0.00006,0.000024
218,1148,17,10600,788,,0.0896875,2.65625E-06,0.00004925
219,1027,118,8173,2048,,0.080234375,1.84375E-05,0.000128
220,1148,-386,7153,1484,,0.0896875,-6.03125E-05,0.00009275
221,769,4,8113,-7,,0.060078125,0.000000625,-4.375E-07
222,1027,-2,11658,-271,,0.080234375,-3.125E-07,-1.69375E-05
223,1152,-128,9122,-627,,0.09,-0.00002,-3.91875E-05
224,1024,-128,7663,1177,,0.08,-0.00002,7.35625E-05
225,636,-4,4835,783,,0.0496875,-0.000000625,4.89375E-05
226,1277,2,9199,126,,0.099765625,3.125E-07,0.000007875
227,1021,-136,7938,223,,0.079765625,-0.00002125,1.39375E-05
228,1408,256,9600,1138,,0.11,0.00004,0.000071125
229,896,-640,7049,-384,,0.07,-0.0001,-0.000024
230,897,-637,7302,1052,,0.070078125,-9.95313E-05,0.00006575
231,896,257,8064,643,,0.07,4.01563E-05,4.01875E-05
232,1024,-514,10111,268,,0.08,-8.03125E-05,0.00001675
233,1024,128,8832,506,,0.08,0.00002,0.000031625
234,1163,-528,9877,-125,,0.090859375,-0.0000825,-7.8125E-06
235,1534,-512,10238,1018,,0.11984375,-0.00008,0.000063625
236,890,132,10368,1399,,0.06953125,0.000020625,8.74375E-05
237,1020,384,8603,-128,,0.0796875,0.00006,-0.000008
238,1151,131,8438,-123,,0.089921875,2.04688E-05,-7.6875E-06
239,1149,-378,9498,2,,0.089765625,-5.90625E-05,0.000000125
240,1525,-3,12052,374,,0.119140625,-4.6875E-07,0.000023375
241,1548,390,8725,1028,,0.1209375,6.09375E-05,0.00006425
242,1022,-393,8057,512,,0.07984375,-6.14063E-05,0.000032
243,1151,-384,7046,1660,,0.089921875,-0.00006,0.00010375
244,1155,-5,9748,768,,0.090234375,-7.8125E-07,0.000048
245,1406,-383,9839,1024,,0.10984375,-5.98438E-05,0.000064
246,884,4,8556,-512,,0.0690625,0.000000625,-0.000032
247,768,-128,8971,-785,,0.06,-0.00002,-4.90625E-05
248,1029,-129,11545,1152,,0.080390625,-2.01563E-05,0.000072
249,1151,-257,11011,135,,0.089921875,-4.01563E-05,8.4375E-06
250,1150,1,10624,896,,0.08984375,1.5625E-07,0.000056
251,897,5,10238,138,,0.070078125,7.8125E-07,0.000008625
252,1022,-5,9980,983,,0.07984375,-7.8125E-07,6.14375E-05
