,,CH1,CH2,CH3,CH4,,GateV,Vf,If
139,-2.72E-06,-1036,11526,11639,-640,,-0.161875,1.8009375,-0.0004
140,-2.72E-06,-383,11136,11648,-384,,-0.05984375,1.74,-0.00024
141,-2.72E-06,-778,11520,10752,-768,,-0.1215625,1.8,-0.00048
142,-2.72E-06,-893,11008,11651,-129,,-0.13953125,1.72,-0.000080625
143,-2.71E-06,-506,10497,11519,-896,,-0.0790625,1.64015625,-0.00056
144,-2.71E-06,-515,11396,11520,1,,-0.08046875,1.780625,0.000000625
145,-2.71E-06,-775,11652,12160,-512,,-0.12109375,1.820625,-0.00032
146,-2.71E-06,-1151,11014,11650,-770,,-0.17984375,1.7209375,-0.00048125
147,-2.71E-06,-644,11136,11777,-894,,-0.100625,1.74,-0.00055875
148,-2.70E-06,-638,11520,11390,-1153,,-0.0996875,1.8,-0.000720625
149,-2.70E-06,-767,11133,11649,-640,,-0.11984375,1.73953125,-0.0004
150,-2.70E-06,-769,10882,11905,-3,,-0.12015625,1.7003125,-0.000001875
151,-2.70E-06,-647,11647,12032,-1,,-0.10109375,1.81984375,-0.000000625
152,-2.70E-06,-252,11138,11776,127,,-0.039375,1.7403125,0.000079375
153,-2.69E-06,-1024,11646,11777,-249,,-0.16,1.8196875,-0.000155625
154,-2.69E-06,-1017,11517,11520,-640,,-0.15890625,1.79953125,-0.0004
155,-2.69E-06,-515,11391,11904,256,,-0.08046875,1.77984375,0.00016
156,-2.69E-06,-1157,11265,11904,-395,,-0.18078125,1.76015625,-0.000246875
157,-2.69E-06,-894,11263,12032,-641,,-0.1396875,1.75984375,-0.000400625
158,-2.68E-06,-1025,11008,11776,-512,,-0.16015625,1.72,-0.00032
159,-2.68E-06,-770,11260,11650,-512,,-0.1203125,1.759375,-0.00032
160,-2.68E-06,-640,11137,11264,-640,,-0.1,1.74015625,-0.0004
161,-2.68E-06,-766,10880,11651,-127,,-0.1196875,1.7,-0.000079375
162,-2.68E-06,-895,11009,12031,-384,,-0.13984375,1.72015625,-0.00024
163,-2.67E-06,-896,11265,11392,-128,,-0.14,1.76015625,-0.00008
164,-2.67E-06,-638,11263,12032,-384,,-0.0996875,1.75984375,-0.00024
165,-2.67E-06,-1025,11136,11655,-1407,,-0.16015625,1.74,-0.000879375
166,-2.67E-06,-513,11134,11396,-403,,-0.08015625,1.7396875,-0.000251875
167,-2.67E-06,-772,11137,11263,134,,-0.120625,1.74015625,0.00008375
168,-2.66E-06,-894,10882,11650,-639,,-0.1396875,1.7003125,-0.000399375
169,-2.66E-06,-767,11649,11906,-260,,-0.11984375,1.82015625,-0.0001625
170,-2.66E-06,-1029,11268,11901,-509,,-0.16078125,1.760625,-0.000318125
